Folder Name,View,Left_Elbow_Angle_mean,Left_Elbow_Angle_std,Left_Shoulder_Angle_mean,Left_Shoulder_Angle_std,Left_Knee_Angle_mean,Left_Knee_Angle_std,Left_Hip_Angle_mean,Left_Hip_Angle_std,Left_Ankle_Angle_mean,Left_Ankle_Angle_std,Right_Elbow_Angle_mean,Right_Elbow_Angle_std,Right_Shoulder_Angle_mean,Right_Shoulder_Angle_std,Right_Knee_Angle_mean,Right_Knee_Angle_std,Right_Hip_Angle_mean,Right_Hip_Angle_std,Right_Ankle_Angle_mean,Right_Ankle_Angle_std
camatkarasana,Arm-Specific (Partial Extension),161.03356396912733,18.33231756431578,134.6365106485593,26.944981141615347,167.90028244766177,19.746277075105315,119.11308803136357,23.555645747356483,108.83201066033132,19.15396546943271,154.95438991738393,35.059914893610646,133.73088014145006,40.16839804122481,154.58328448540632,27.474107317126183,114.72817211421261,32.01192007591808,74.10319173644743,16.617984990861693
camatkarasana,Oblique View (Mild),177.9189660825071,0.012829240973296147,95.23015221698435,18.25690683453444,175.42018120761944,1.5766838601219826,121.29591968614614,13.884890008681372,118.80106332564159,1.2587881725502954,159.36122265954447,15.978369584829357,140.687328611329,0.24650557984163174,125.70602701454382,1.4124933652343623,142.09629656557763,13.597368437463048,80.78047274701767,5.851082009755821
camatkarasana,Oblique View (Moderate),148.1085152904621,0.0,178.1747047723826,0.0,154.33478401679326,0.0,125.2949426082976,0.0,101.47440780811144,0.0,170.6596361452822,0.0,140.86163437843533,0.0,163.15350357923754,0.0,106.44387012014435,0.0,69.40772704912541,0.0
camatkarasana,Rare or Mixed View,168.16143672733983,15.769148826899302,128.75681630164974,25.527849572754786,156.0671749826656,26.689734304112516,117.82185211919575,26.476059897196844,107.9951595376268,12.922594239865687,168.53972542184107,11.418113218217602,136.2826747915745,23.85749802472701,157.05307425834903,22.921101073071817,116.38461628241198,24.58134534177284,71.65232444820408,13.279423909514623
dandasana,Arm-Specific (Mixed),170.1218583633399,8.317394886409705,12.152218976670992,10.56967797783272,172.6415837685939,4.129690268870924,111.32930152195456,12.950779489110007,124.28401026927484,75.61491606821701,171.51016058916875,4.481562916323725,10.714394482642913,2.538485582008846,150.71823038430597,64.33668349601953,111.35119586387562,13.513129429018734,49.95054551473631,73.91361913438955
dandasana,Back View (Full),168.97802560379253,5.407586300255922,8.397484494245177,3.559496783893212,175.11172403280665,0.5734937629849408,98.32347390348903,4.020941508415877,175.04187060103396,3.369735810811436,165.59614559557136,11.826210716679839,15.528438070941073,5.546920659019376,154.95583845726415,41.979693402575485,104.3175928237384,6.12995856461287,31.923781867468453,51.47802164088617
dandasana,Back View (Partial),139.48109049028665,74.25241438396597,10.948769560735585,10.042848513678448,177.12747591376956,2.5632373793215684,87.49188760752638,5.642857519422591,177.3209287324043,3.311677806609291,171.50925095391128,0.0,10.908154806193924,0.0,175.9456851585519,0.0,101.25261354143196,0.0,6.184771047025367,0.0
dandasana,Side View (Perfect - Near Full),171.6242705534974,2.883477863502038,8.041018482020485,1.569176184253158,168.54461014359705,18.790252387117672,100.4185810341148,4.077783874203242,155.06574831803144,45.31988960964525,168.94589439492603,6.599653144168811,11.363103185215431,5.921189687659395,173.5461040672694,6.4203217104951875,98.70654043872388,5.8179531008028835,20.345911161094794,44.98808066114826
dandasana,Side View (Perfect - Partial),170.19842267885616,6.100659245192387,19.245958364079932,42.652358850418096,174.82660669000853,1.6503554305331998,102.16346006742994,4.412705287168979,140.47938080375792,67.14055266526057,171.40144342867436,7.243760553742774,18.547022568523058,35.44914815807267,177.0607941985151,1.5611716584709003,100.75507136129332,4.087038999220365,5.009227033745487,2.419606780592508
durvasasana,Arm-Specific (Mixed),43.14529174792844,0.0,66.3808014775933,0.0,131.2751500736593,0.0,123.24192735537136,0.0,121.7914263069975,0.0,67.07130972363704,0.0,34.205058743606145,0.0,147.99675276756753,0.0,144.55999103658806,0.0,74.76484938546744,0.0
